term_id	sign_score	level	annotation_gene	start_time	end_time	geneSize	time_size
165282	0.00769	1	AT1G14150,AT4G37925,AT2G41330,AT2G26800,AT2G40100,AT5G62720,AT4G23890,AT3G47060,AT1G12250,AT1G80030,AT4G18370,AT3G01440,AT2G30950,AT5G20140,AT4G04020,AT5G15250,AT2G40400,AT1G27510,AT5G52780,AT1G14590,AT5G39830,AT3G10470,AT5G03455,AT1G54580,AT5G02160,AT4G31560	85	94	26	10
165280	0.1	1	AT1G50450,AT4G19830,AT1G74880,AT1G65260,AT1G67840,AT2G01140,AT2G21530,AT4G38100	85	94	8	10
165281	0.00758	1	AT1G14150,AT4G37925,AT2G41330,AT2G26800,AT2G40100,AT5G62720,AT4G23890,AT3G47060,AT1G12250,AT1G80030,AT4G18370,AT3G01440,AT2G30950,AT5G20140,AT4G04020,AT5G15250,AT2G40400,AT1G27510,AT5G52780,AT1G14590,AT5G19370,AT1G76760	85	94	22	10
165284	0.04167	1	AT1G02560,AT1G03160,AT2G29500,AT1G67700,AT1G03090,AT2G30695,AT5G08540,AT2G44990	85	94	8	10
116195	0.00631	4	AT3G15360,AT1G06690,AT4G13670,AT3G22690,AT1G23740,AT5G52970,AT3G57680,AT5G23890,AT2G40760,AT1G55370,AT1G29920,AT2G43010,AT1G30510,AT4G20820,AT3G55330,AT1G10170,AT1G74710,AT1G15820,AT5G12470,AT4G35770,AT2G24020,AT1G42960	72	95	22	24
131597	0.02579	6	AT1G22020,AT1G50460,AT1G51350,AT3G15840,AT3G25480,AT3G46780,AT4G16155	75	98	7	24
127470	0.00481	6	AT3G15360,AT1G06690,AT3G22690,AT1G23740,AT5G52970,AT2G40760,AT1G55370,AT1G79230,AT4G24930,AT3G57680,AT5G23890,AT1G29920,AT2G20270,AT4G24750,AT4G20820,AT3G55330,AT3G10130,AT1G10170,AT1G74710,AT1G15820,AT5G12470,AT4G35770,AT2G24020,AT1G42960	74	99	24	26
131599	0.01157	7	AT1G22020,AT1G50460,AT3G15840,AT3G25480,AT3G46780,AT5G19500	75	98	6	24
117071	0.00564	5	AT1G06690,AT1G15820,AT1G23740,AT1G29920,AT1G42960,AT1G74710,AT1G79230,AT2G24020,AT2G40760,AT3G10130,AT3G15360,AT3G22690,AT3G55330,AT3G57680,AT4G13670,AT4G20820,AT5G12470,AT5G23890,AT5G52970	72	99	19	28
88392	0.03333	4	AT1G22020,AT3G28850,AT3G58010,AT4G39460,AT5G59250	68	83	5	16
82999	0.01361	7	AT3G10470,AT4G04020,AT4G18370,AT4G39960,AT5G13120,AT5G20140,AT5G39830	67	87	7	21
28997	0.00667	2	AT1G06690,AT1G15820,AT1G29920,AT1G42960,AT1G50250,AT2G22360,AT2G24020,AT2G37230,AT2G42975,AT3G15360,AT3G55330,AT3G60370,AT4G13010,AT4G35770,AT5G12470,AT5G16660,AT5G21430,AT5G42070,AT5G52970,AT5G53170	58	72	20	15
75941	0.02745	5	AT2G20260,AT2G30950,AT5G08540,AT5G19370,AT5G01500,AT1G80030,AT1G76760,AT1G12250,AT2G17630,AT5G03455	66	82	10	17
99999	0.01111	1	AT1G66670,AT5G23890,AT1G17850,AT1G14590,AT1G55370,AT3G10470,AT4G39960,AT2G27290,AT1G52220,AT2G01918,AT5G02160,AT4G04020,AT2G40100,AT1G72640,AT4G18370,AT2G40760,AT3G60370,AT3G26580,AT1G74710,AT1G67280,AT1G06690	70	79	21	10
99998	0.01228	1	AT1G66670,AT5G23890,AT1G17850,AT1G14590,AT1G55370,AT3G10470,AT4G39960,AT2G27290,AT1G52220,AT2G01918,AT5G42765,AT1G74710,AT3G10130,AT3G60370,AT2G40760,AT3G26580,AT1G06690,AT1G31180,AT1G67280	70	79	19	10
